Name      Eref    Area      Layers
BN        21.6    5.456047  2
graphite  19.7    5.283534  2
HfS2      16.1   11.442989  1
HfSe2     17.1   12.165495  1
HfTe2     18.7   13.560095  1
MoS2      20.5    8.661472  2
MoSe2     19.6    9.362552  2
MoTe2     20.8   10.724305  2
NbSe2     19.6   10.260118  2
NbTe2     23.0   11.728062  1
PbO       20.2   15.776784  1
PdTe2     40.2   14.051075  1
PtS2      20.6   10.871700  1
PtSe2     19.1   12.034716  1
TaS2      17.7    9.777080  1
TaSe2     19.4   10.669520  1
TiS2      18.9    9.952451  1
TiSe2     17.4   10.852684  1
TiTe2     19.8   12.243521  1
VS2       25.6    8.962574  1
VSe2      22.3    9.689980  1
WS2       20.2    8.610605  2
WSe2      20.0    9.328413  2
ZrS2      17.0   11.613612  1
ZrSe2     18.5   12.308732  1
ZrTe2     16.3   13.525848  1
