# Parameters of the fit
 a1 = 0.26033553 || a2(ang) = 3.10505665


# Statistics
 Dataset size = 49
 MAD    = 0.307
 MaxAD  = 1.760 (c10h8_c10h8_p)
 RMS    = 0.468
 MAPD   = 9.382
 MaxAPD = 46.260 (c6h6_c6h6_stack)
 RMSP   = 13.633

# List of dimers
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490      0.580      18.47
                  cf4_cf4      0.870      0.816       6.25
                 sih4_ch4      0.790      0.719       9.02
                  ocs_ocs      1.720      1.174      31.76
            c10h8_c10h8_p      4.070      5.830      43.25
           c10h8_c10h8_pc      5.725      7.133      24.60
            c10h8_c10h8_t      5.173      5.282       2.11
           c10h8_c10h8_tc      3.939      4.314       9.51
                  sih4_hf      0.760      0.560      26.32
                  ch4_nh3      0.740      0.757       2.32
                   ch4_hf      1.610      1.456       9.58
                  c2h4_hf      4.470      4.859       8.71
                ch3f_ch3f      2.380      2.253       5.34
                h2co_h2co      3.420      3.100       9.35
              ch3cn_ch3cn      6.190      5.948       3.90
                   hcn_hf      7.420      7.614       2.61
                  co2_co2      1.440      1.296      10.02
                  nh3_nh3      3.133      2.914       6.98
                  h2o_h2o      4.989      5.049       1.21
              h2co2_h2co2     18.753     19.087       1.78
      formamide_formamide     16.062     15.872       1.18
         uracil_uracil_hb     20.641     20.605       0.17
 pyridoxine_aminopyridine     16.934     17.118       1.09
     adenine_thymine_wcc1     16.660     16.356       1.83
                  ch4_ch4      0.527      0.448      14.95
                c2h4_c2h4      1.472      1.201      18.42
                 c6h6_ch4      1.448      1.367       5.63
             c6h6_c6h6_pd      2.654      2.711       2.17
        pyrazine_pyrazine      4.255      3.613      15.08
      uracil_uracil_stack      9.805      9.178       6.39
        indole_c6h6_stack      4.524      4.310       4.74
    adenine_thymine_stack     11.730     10.313      12.08
                c2h4_c2h2      1.496      1.676      12.02
                 c6h6_h2o      3.275      3.058       6.63
                 c6h6_nh3      2.312      2.150       7.02
                 c6h6_hcn      4.541      4.279       5.78
              c6h6_c6h6_t      2.717      2.707       0.38
            indole_c6h6_t      5.627      5.318       5.49
            phenol_phenol      7.097      6.887       2.96
                    hf_hf      4.570      4.794       4.91
                  nh3_h2o      6.410      6.764       5.52
                  h2s_h2s      1.660      1.645       0.92
                  hcl_hcl      2.010      1.856       7.66
                  h2s_hcl      3.350      3.601       7.48
                ch3cl_hcl      3.550      3.288       7.39
                hcn_ch3sh      3.590      3.997      11.32
                ch3sh_hcl      4.880      5.101       4.53
                c2h2_c2h2      1.340      1.429       6.62
          c6h6_c6h6_stack      1.681      2.459      46.26

# List of dimers (uncorrected DF)
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490   0.192203      60.77
                  cf4_cf4      0.870   0.108581      87.52
                 sih4_ch4      0.790  -0.005852     100.74
                  ocs_ocs      1.720  -0.130717     107.60
            c10h8_c10h8_p      4.070  -0.040264     100.99
           c10h8_c10h8_pc      5.725   0.443882      92.25
            c10h8_c10h8_t      5.173   1.405023      72.84
           c10h8_c10h8_tc      3.939   1.267564      67.82
                  sih4_hf      0.760   0.234422      69.15
                  ch4_nh3      0.740   0.498506      32.63
                   ch4_hf      1.610   1.198055      25.59
                  c2h4_hf      4.470   4.505233       0.79
                ch3f_ch3f      2.380   1.751845      26.39
                h2co_h2co      3.420   2.498365      26.95
              ch3cn_ch3cn      6.190   4.730456      23.58
                   hcn_hf      7.420   7.388748       0.42
                  co2_co2      1.440   0.741871      48.48
                  nh3_nh3      3.133   2.551132      18.57
                  h2o_h2o      4.989   4.805133       3.69
              h2co2_h2co2     18.753  18.122621       3.36
      formamide_formamide     16.062  14.794935       7.89
         uracil_uracil_hb     20.641  19.090288       7.51
 pyridoxine_aminopyridine     16.934  15.298970       9.66
     adenine_thymine_wcc1     16.660  14.401439      13.56
                  ch4_ch4      0.527   0.001942      99.63
                c2h4_c2h4      1.472   0.230804      84.32
                 c6h6_ch4      1.448   0.216507      85.05
             c6h6_c6h6_pd      2.654  -1.018116     138.36
        pyrazine_pyrazine      4.255   0.087456      97.94
      uracil_uracil_stack      9.805   4.478978      54.32
        indole_c6h6_stack      4.524  -0.902780     119.96
    adenine_thymine_stack     11.730   3.612644      69.20
                c2h4_c2h2      1.496   1.137064      23.99
                 c6h6_h2o      3.275   2.101851      35.82
                 c6h6_nh3      2.312   1.060059      54.15
                 c6h6_hcn      4.541   3.020187      33.49
              c6h6_c6h6_t      2.717   0.630519      76.79
            indole_c6h6_t      5.627   2.652005      52.87
            phenol_phenol      7.097   4.778542      32.67
                    hf_hf      4.570   4.667482       2.13
                  nh3_h2o      6.410   6.469343       0.93
                  h2s_h2s      1.660   1.012880      38.98
                  hcl_hcl      2.010   1.333876      33.64
                  h2s_hcl      3.350   2.958355      11.69
                ch3cl_hcl      3.550   2.425571      31.67
                hcn_ch3sh      3.590   3.229173      10.05
                ch3sh_hcl      4.880   4.112610      15.73
                c2h2_c2h2      1.340   0.849401      36.61
          c6h6_c6h6_stack      1.681  -0.362522     121.57
