# Parameters of the fit
 a1 = 0.76094632 || a2(ang) = 1.14475420


# Statistics
 Dataset size = 49
 MAD    = 0.439
 MaxAD  = 1.814 (adenine_thymine_stack)
 RMS    = 0.606
 MAPD   = 12.836
 MaxAPD = 39.019 (h2s_hcl)
 RMSP   = 16.700

# List of dimers
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490      0.667      36.21
                  cf4_cf4      0.870      0.741      14.88
                 sih4_ch4      0.790      0.855       8.29
                  ocs_ocs      1.720      1.434      16.63
            c10h8_c10h8_p      4.070      4.072       0.04
           c10h8_c10h8_pc      5.725      5.507       3.80
            c10h8_c10h8_t      5.173      4.452      13.95
           c10h8_c10h8_tc      3.939      3.328      15.51
                  sih4_hf      0.760      0.623      18.07
                  ch4_nh3      0.740      0.954      28.90
                   ch4_hf      1.610      1.878      16.66
                  c2h4_hf      4.470      5.401      20.83
                ch3f_ch3f      2.380      2.158       9.32
                h2co_h2co      3.420      2.995      12.44
              ch3cn_ch3cn      6.190      6.033       2.53
                   hcn_hf      7.420      7.862       5.96
                  co2_co2      1.440      1.242      13.77
                  nh3_nh3      3.133      3.273       4.47
                  h2o_h2o      4.989      5.319       6.61
              h2co2_h2co2     18.753     19.665       4.86
      formamide_formamide     16.062     16.186       0.77
         uracil_uracil_hb     20.641     20.342       1.45
 pyridoxine_aminopyridine     16.934     17.683       4.42
     adenine_thymine_wcc1     16.660     16.747       0.52
                  ch4_ch4      0.527      0.576       9.25
                c2h4_c2h4      1.472      1.435       2.49
                 c6h6_ch4      1.448      1.447       0.06
             c6h6_c6h6_pd      2.654      2.618       1.35
        pyrazine_pyrazine      4.255      3.668      13.79
      uracil_uracil_stack      9.805      8.572      12.57
        indole_c6h6_stack      4.524      4.191       7.37
    adenine_thymine_stack     11.730      9.916      15.46
                c2h4_c2h2      1.496      1.770      18.30
                 c6h6_h2o      3.275      3.378       3.13
                 c6h6_nh3      2.312      2.311       0.05
                 c6h6_hcn      4.541      4.423       2.60
              c6h6_c6h6_t      2.717      2.435      10.38
            indole_c6h6_t      5.627      5.121       8.99
            phenol_phenol      7.097      6.556       7.62
                    hf_hf      4.570      4.885       6.89
                  nh3_h2o      6.410      7.385      15.21
                  h2s_h2s      1.660      2.272      36.86
                  hcl_hcl      2.010      2.546      26.65
                  h2s_hcl      3.350      4.657      39.02
                ch3cl_hcl      3.550      4.255      19.85
                hcn_ch3sh      3.590      4.403      22.64
                ch3sh_hcl      4.880      6.557      34.36
                c2h2_c2h2      1.340      1.570      17.16
          c6h6_c6h6_stack      1.681      1.076      36.02

# List of dimers (uncorrected DF)
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490   0.096420      80.32
                  cf4_cf4      0.870  -0.425176     148.87
                 sih4_ch4      0.790  -0.101977     112.91
                  ocs_ocs      1.720  -0.230877     113.42
            c10h8_c10h8_p      4.070  -3.120165     176.66
           c10h8_c10h8_pc      5.725  -2.951349     151.55
            c10h8_c10h8_t      5.173  -0.586590     111.34
           c10h8_c10h8_tc      3.939  -0.416638     110.58
                  sih4_hf      0.760   0.114238      84.97
                  ch4_nh3      0.740   0.514878      30.42
                   ch4_hf      1.610   1.302576      19.09
                  c2h4_hf      4.470   4.574036       2.33
                ch3f_ch3f      2.380   1.240113      47.89
                h2co_h2co      3.420   1.757891      48.60
              ch3cn_ch3cn      6.190   4.129091      33.29
                   hcn_hf      7.420   7.312885       1.44
                  co2_co2      1.440   0.255500      82.26
                  nh3_nh3      3.133   2.531005      19.21
                  h2o_h2o      4.989   4.696881       5.86
              h2co2_h2co2     18.753  17.556095       6.38
      formamide_formamide     16.062  14.131958      12.02
         uracil_uracil_hb     20.641  17.850724      13.52
 pyridoxine_aminopyridine     16.934  14.765298      12.81
     adenine_thymine_wcc1     16.660  13.565486      18.57
                  ch4_ch4      0.527  -0.138899     126.36
                c2h4_c2h4      1.472  -0.068449     104.65
                 c6h6_ch4      1.448  -0.293897     120.30
             c6h6_c6h6_pd      2.654  -2.512180     194.66
        pyrazine_pyrazine      4.255  -1.375838     132.33
      uracil_uracil_stack      9.805   1.739659      82.26
        indole_c6h6_stack      4.524  -3.051851     167.46
    adenine_thymine_stack     11.730   0.150806      98.71
                c2h4_c2h2      1.496   0.968474      35.26
                 c6h6_h2o      3.275   1.675141      48.85
                 c6h6_nh3      2.312   0.594057      74.31
                 c6h6_hcn      4.541   2.414734      46.82
              c6h6_c6h6_t      2.717  -0.328690     112.10
            indole_c6h6_t      5.627   1.459999      74.05
            phenol_phenol      7.097   3.443464      51.48
                    hf_hf      4.570   4.471062       2.16
                  nh3_h2o      6.410   6.670300       4.06
                  h2s_h2s      1.660   1.460777      12.00
                  hcl_hcl      2.010   1.812741       9.81
                  h2s_hcl      3.350   3.772876      12.62
                ch3cl_hcl      3.550   2.983788      15.95
                hcn_ch3sh      3.590   3.173851      11.59
                ch3sh_hcl      4.880   5.119421       4.91
                c2h2_c2h2      1.340   0.722342      46.09
          c6h6_c6h6_stack      1.681  -2.404829     243.06
