# Parameters of the fit
 a1 = 0.66317740 || a2(ang) = 1.43026087


# Statistics
 Dataset size = 49
 MAD    = 0.410
 MaxAD  = 1.574 (adenine_thymine_stack)
 RMS    = 0.554
 MAPD   = 11.668
 MaxAPD = 33.894 (h2s_hcl)
 RMSP   = 14.541

# List of dimers
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490      0.636      29.88
                  cf4_cf4      0.870      0.759      12.70
                 sih4_ch4      0.790      0.896      13.37
                  ocs_ocs      1.720      1.404      18.36
            c10h8_c10h8_p      4.070      3.992       1.92
           c10h8_c10h8_pc      5.725      5.491       4.08
            c10h8_c10h8_t      5.173      4.447      14.03
           c10h8_c10h8_tc      3.939      3.283      16.67
                  sih4_hf      0.760      0.659      13.31
                  ch4_nh3      0.740      0.922      24.64
                   ch4_hf      1.610      1.827      13.50
                  c2h4_hf      4.470      5.340      19.46
                ch3f_ch3f      2.380      2.111      11.32
                h2co_h2co      3.420      2.935      14.18
              ch3cn_ch3cn      6.190      6.111       1.28
                   hcn_hf      7.420      7.868       6.04
                  co2_co2      1.440      1.220      15.27
                  nh3_nh3      3.133      3.219       2.74
                  h2o_h2o      4.989      5.260       5.44
              h2co2_h2co2     18.753     19.708       5.09
      formamide_formamide     16.062     16.149       0.54
         uracil_uracil_hb     20.641     20.217       2.06
 pyridoxine_aminopyridine     16.934     17.659       4.28
     adenine_thymine_wcc1     16.660     16.754       0.56
                  ch4_ch4      0.527      0.572       8.61
                c2h4_c2h4      1.472      1.457       1.01
                 c6h6_ch4      1.448      1.407       2.84
             c6h6_c6h6_pd      2.654      2.655       0.05
        pyrazine_pyrazine      4.255      3.781      11.13
      uracil_uracil_stack      9.805      8.580      12.50
        indole_c6h6_stack      4.524      4.274       5.53
    adenine_thymine_stack     11.730     10.156      13.42
                c2h4_c2h2      1.496      1.745      16.65
                 c6h6_h2o      3.275      3.374       3.04
                 c6h6_nh3      2.312      2.242       3.04
                 c6h6_hcn      4.541      4.389       3.34
              c6h6_c6h6_t      2.717      2.428      10.65
            indole_c6h6_t      5.627      5.119       9.03
            phenol_phenol      7.097      6.435       9.33
                    hf_hf      4.570      4.890       7.01
                  nh3_h2o      6.410      7.274      13.47
                  h2s_h2s      1.660      2.168      30.57
                  hcl_hcl      2.010      2.416      20.21
                  h2s_hcl      3.350      4.485      33.89
                ch3cl_hcl      3.550      4.084      15.04
                hcn_ch3sh      3.590      4.258      18.61
                ch3sh_hcl      4.880      6.323      29.57
                c2h2_c2h2      1.340      1.573      17.39
          c6h6_c6h6_stack      1.681      1.260      25.07

# List of dimers (uncorrected DF)
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490   0.077086      84.27
                  cf4_cf4      0.870  -0.421257     148.42
                 sih4_ch4      0.790  -0.119996     115.19
                  ocs_ocs      1.720  -0.287290     116.70
            c10h8_c10h8_p      4.070  -3.191779     178.42
           c10h8_c10h8_pc      5.725  -3.028959     152.91
            c10h8_c10h8_t      5.173  -0.663664     112.83
           c10h8_c10h8_tc      3.939  -0.481981     112.24
                  sih4_hf      0.760   0.130575      82.82
                  ch4_nh3      0.740   0.484378      34.54
                   ch4_hf      1.610   1.251252      22.28
                  c2h4_hf      4.470   4.530192       1.35
                ch3f_ch3f      2.380   1.191014      49.96
                h2co_h2co      3.420   1.705786      50.12
              ch3cn_ch3cn      6.190   4.137393      33.16
                   hcn_hf      7.420   7.320183       1.35
                  co2_co2      1.440   0.236154      83.60
                  nh3_nh3      3.133   2.464555      21.34
                  h2o_h2o      4.989   4.646307       6.87
              h2co2_h2co2     18.753  17.615517       6.07
      formamide_formamide     16.062  14.089344      12.28
         uracil_uracil_hb     20.641  17.709810      14.20
 pyridoxine_aminopyridine     16.934  14.630374      13.60
     adenine_thymine_wcc1     16.660  13.451292      19.26
                  ch4_ch4      0.527  -0.147801     128.05
                c2h4_c2h4      1.472  -0.104597     107.11
                 c6h6_ch4      1.448  -0.327030     122.58
             c6h6_c6h6_pd      2.654  -2.550935     196.12
        pyrazine_pyrazine      4.255  -1.429185     133.59
      uracil_uracil_stack      9.805   1.608735      83.59
        indole_c6h6_stack      4.524  -3.114778     168.85
    adenine_thymine_stack     11.730  -0.003097     100.03
                c2h4_c2h2      1.496   0.931730      37.72
                 c6h6_h2o      3.275   1.631313      50.19
                 c6h6_nh3      2.312   0.546119      76.38
                 c6h6_hcn      4.541   2.376377      47.67
              c6h6_c6h6_t      2.717  -0.373619     113.75
            indole_c6h6_t      5.627   1.393577      75.23
            phenol_phenol      7.097   3.331394      53.06
                    hf_hf      4.570   4.488560       1.78
                  nh3_h2o      6.410   6.540242       2.03
                  h2s_h2s      1.660   1.331871      19.77
                  hcl_hcl      2.010   1.640214      18.40
                  h2s_hcl      3.350   3.556868       6.18
                ch3cl_hcl      3.550   2.741604      22.77
                hcn_ch3sh      3.590   3.025706      15.72
                ch3sh_hcl      4.880   4.818856       1.25
                c2h2_c2h2      1.340   0.690838      48.44
          c6h6_c6h6_stack      1.681  -2.181802     229.79
