# Parameters of the fit
 a1 = -0.87870124 || a2(ang) = 7.93981331


# Statistics
 Dataset size = 49
 MAD    = 0.441
 MaxAD  = 2.737 (adenine_thymine_stack)
 RMS    = 0.667
 MAPD   = 11.522
 MaxAPD = 41.371 (ch4_c2h4)
 RMSP   = 14.942

# List of dimers
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490      0.693      41.37
                  cf4_cf4      0.870      0.801       7.97
                 sih4_ch4      0.790      0.861       8.94
                  ocs_ocs      1.720      1.411      17.94
            c10h8_c10h8_p      4.070      4.478      10.01
           c10h8_c10h8_pc      5.725      5.594       2.29
            c10h8_c10h8_t      5.173      5.027       2.82
           c10h8_c10h8_tc      3.939      4.004       1.66
                  sih4_hf      0.760      0.700       7.90
                  ch4_nh3      0.740      0.956      29.23
                   ch4_hf      1.610      1.834      13.89
                  c2h4_hf      4.470      5.323      19.09
                ch3f_ch3f      2.380      2.232       6.20
                h2co_h2co      3.420      3.146       8.00
              ch3cn_ch3cn      6.190      5.978       3.42
                   hcn_hf      7.420      7.874       6.12
                  co2_co2      1.440      1.233      14.36
                  nh3_nh3      3.133      3.219       2.73
                  h2o_h2o      4.989      5.364       7.51
              h2co2_h2co2     18.753     20.111       7.24
      formamide_formamide     16.062     16.521       2.86
         uracil_uracil_hb     20.641     21.036       1.91
 pyridoxine_aminopyridine     16.934     17.784       5.02
     adenine_thymine_wcc1     16.660     16.982       1.93
                  ch4_ch4      0.527      0.523       0.78
                c2h4_c2h4      1.472      1.317      10.52
                 c6h6_ch4      1.448      1.382       4.53
             c6h6_c6h6_pd      2.654      2.098      20.96
        pyrazine_pyrazine      4.255      3.038      28.61
      uracil_uracil_stack      9.805      8.150      16.88
        indole_c6h6_stack      4.524      3.374      25.42
    adenine_thymine_stack     11.730      8.993      23.33
                c2h4_c2h2      1.496      1.817      21.43
                 c6h6_h2o      3.275      3.254       0.63
                 c6h6_nh3      2.312      2.231       3.52
                 c6h6_hcn      4.541      4.595       1.19
              c6h6_c6h6_t      2.717      2.660       2.10
            indole_c6h6_t      5.627      5.480       2.62
            phenol_phenol      7.097      6.826       3.82
                    hf_hf      4.570      4.914       7.54
                  nh3_h2o      6.410      7.189      12.16
                  h2s_h2s      1.660      2.146      29.30
                  hcl_hcl      2.010      2.331      15.98
                  h2s_hcl      3.350      4.238      26.50
                ch3cl_hcl      3.550      3.861       8.76
                hcn_ch3sh      3.590      4.200      16.98
                ch3sh_hcl      4.880      5.884      20.57
                c2h2_c2h2      1.340      1.486      10.87
          c6h6_c6h6_stack      1.681      2.003      19.15

# List of dimers (uncorrected DF)
#           dimer          Ref.      Calc.      Err.(%) 
                 ch4_c2h4      0.490   0.587422      19.88
                  cf4_cf4      0.870   0.665870      23.46
                 sih4_ch4      0.790   0.624598      20.94
                  ocs_ocs      1.720   0.979154      43.07
            c10h8_c10h8_p      4.070   2.105334      48.27
           c10h8_c10h8_pc      5.725   3.074150      46.30
            c10h8_c10h8_t      5.173   3.453837      33.23
           c10h8_c10h8_tc      3.939   2.608625      33.77
                  sih4_hf      0.760   0.613871      19.23
                  ch4_nh3      0.740   0.903461      22.09
                   ch4_hf      1.610   1.804600      12.09
                  c2h4_hf      4.470   5.287481      18.29
                ch3f_ch3f      2.380   2.147364       9.77
                h2co_h2co      3.420   3.057897      10.59
              ch3cn_ch3cn      6.190   5.717608       7.63
                   hcn_hf      7.420   7.847549       5.76
                  co2_co2      1.440   1.145196      20.47
                  nh3_nh3      3.133   3.169151       1.15
                  h2o_h2o      4.989   5.339643       7.03
              h2co2_h2co2     18.753  19.974130       6.51
      formamide_formamide     16.062  16.335296       1.70
         uracil_uracil_hb     20.641  20.592644       0.23
 pyridoxine_aminopyridine     16.934  17.218652       1.68
     adenine_thymine_wcc1     16.660  16.368338       1.75
                  ch4_ch4      0.527   0.443756      15.80
                c2h4_c2h4      1.472   1.095595      25.57
                 c6h6_ch4      1.448   1.099030      24.10
             c6h6_c6h6_pd      2.654   0.973303      63.33
        pyrazine_pyrazine      4.255   2.121329      50.15
      uracil_uracil_stack      9.805   6.950150      29.12
        indole_c6h6_stack      4.524   1.803505      60.13
    adenine_thymine_stack     11.730   7.194845      38.66
                c2h4_c2h2      1.496   1.663513      11.20
                 c6h6_h2o      3.275   3.104819       5.20
                 c6h6_nh3      2.312   2.000593      13.47
                 c6h6_hcn      4.541   4.291892       5.49
              c6h6_c6h6_t      2.717   1.899404      30.09
            indole_c6h6_t      5.627   4.515797      19.75
            phenol_phenol      7.097   6.079213      14.34
                    hf_hf      4.570   4.905095       7.33
                  nh3_h2o      6.410   7.158574      11.68
                  h2s_h2s      1.660   1.898808      14.39
                  hcl_hcl      2.010   2.193521       9.13
                  h2s_hcl      3.350   4.051148      20.93
                ch3cl_hcl      3.550   3.648174       2.77
                hcn_ch3sh      3.590   4.014630      11.83
                ch3sh_hcl      4.880   5.625018      15.27
                c2h2_c2h2      1.340   1.328869       0.83
          c6h6_c6h6_stack      1.681   0.934711      44.40
